,Cdd,Hdd
USA_WA_Renton.Muni.AP.727934_TMY3,429,4592
USA_OR_North.Bend.Muni.AP.726917_TMY3,83,4608
USA_MO_St.Louis-Spirit.of.St.Louis.AP.724345_TMY3,1643,4619
USA_OR_Portland-Troutdale.AP.726985_TMY3,685,4636
USA_WV_Martinsburg-Eastern.WV.Rgnl.AP.724177_TMY3,1051,4637
USA_KY_Louisville.724230_TMY2,1521,4661
USA_WV_Bluefield-Mercer.County.AP.724125_TMY3,802,4663
USA_TX_Amarillo.Intl.AP.723630_TMY,1669,4664
USA_VA_Lynchburg.724100_TMY2,1293,4670
USA_OR_Corvallis.Muni.AP.726945_TMY3,822,4677
USA_TN_Bristol-TriCities.Rgnl.AP.723183_TMY3,1221,4690
USA_MO_Jefferson.City.Mem.AP.724458_TMY3,1670,4705
USA_KY_Louisville-Standiford.Field.724230_TMY3,1635,4706
USA_OR_North.Bend.726917_TMY2,83,4716
USA_MO_Cape.Girardeau.Muni.AP.723489_TMY3,1503,4727
USA_IN_Evansville.Rgnl.AP.724320_TMY3,1636,4734
USA_OR_Portland.726980_TMY2,578,4760
USA_OR_North.Bend.Muni.AP.726917_TMY,63,4765
USA_WV_Huntington.724250_TMY2,1274,4772
USA_MO_Springfield.Rgnl.AP.724400_TMY,1540,4775
USA_NC_Asheville.723150_TMY2,1013,4776
USA_WA_The.Dalles.Muni.AP.726988_TMY3,1156,4778
USA_KS_Olathe-Johnson.County.Executive.AP.724468_TMY3,1625,4779
USA_KY_London-Corbin-Magee.Field.724243_TMY3,1270,4816
USA_KS_Fort.Riley-Marshall.AAF.724550_TMY3,1875,4816
USA_MO_Farmington.Rgnl.AP.724454_TMY3,1462,4820
USA_KY_Louisville-Standiford.Field.724230_TMY,1579,4820
USA_IL_Cahokia.AP.725314_TMY3,1630,4823
USA_MD_Baltimore-Washington.Intl.AP.724060_TMY3,1430,4825
USA_VA_Fredericksburg-Shannon.AP.724033_TMY3,1706,4830
USA_MO_Kaiser-Lee.Fine.Mem.AWOS.724459_TMY3,1745,4856
USA_VA_Davison.AAF.724037_TMY3,1573,4857
USA_IL_Marion-Williamson.County.Rgnl.AP.724339_TMY3,1511,4863
USA_KS_Hutchinson.Muni.AP.724506_TMY3,1827,4864
USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY3,354,4866
USA_VA_Martinsville-Blue.Ridge.AP.745985_TMY3,1499,4869
USA_MO_Springfield.Rgnl.AP.724400_TMY3,1549,4872
USA_OR_Portland.Intl.AP.726980_TMY,555,4881
USA_IN_Evansville.Rgnl.AP.724320_TMY,1508,4883
USA_NJ_Millville.Muni.AP.724075_TMY3,1221,4890
USA_MD_Andrews.AFB.745940_TMY3,1415,4893
USA_WV_Huntington-Tri.State.Walker.Long.Field.724250_TMY3,1343,4906
USA_WV_Charleston.724140_TMY2,1183,4911
USA_MO_Fort.Leonard.Wood-Forney.AAF.724457_TMY3,1721,4915
USA_WV_Charleston-Yeager.AP.724140_TMY,1275,4915
USA_MO_Springfield.724400_TMY2,1571,4917
USA_KY_Lexington-Bluegrass.AP.724220_TMY,1389,4922
USA_CA_Crescent.City-Jack.McNamara.Field.725946_TMY3,36,4929
USA_MO_Rolla.National.AP.724456_TMY3,1154,4958
USA_TX_Amarillo.723630_TMY2,1597,4958
USA_OR_Medford-Rogue.Valley.Intl.AP.725970_TMY3,1032,4961
USA_WV_Charleston-Yeager.AP.724140_TMY3,1281,4975
USA_WA_Tacoma.Narrows.AP.727938_TMY3,324,4978
USA_OR_Salem-McNary.Field.726940_TMY3,671,4979
USA_PA_Willow.Grove.NAS.724086_TMY3,1110,4983
USA_PA_Philadelphia-NE.Philadelphia.AP.724085_TMY3,1357,5002
USA_WA_Kelso.AP.727924_TMY3,435,5002
USA_PA_Philadelphia.Intl.AP.724080_TMY3,1363,5003
USA_NY_New.York-LaGuardia.AP.725030_TMY,1142,5018
USA_NY_New.York-J.F.Kennedy.Intl.AP.744860_TMY3,1266,5018
USA_NY_Republic.AP.744864_TMY3,1102,5020
USA_OR_Eugene.726930_TMY2,621,5022
USA_IN_Evansville.724320_TMY2,1520,5025
USA_CA_Arcata.AP.725945_TMY3,67,5026
USA_IL_Mount.Vernon.AWOS.724335_TMY3,1616,5029
USA_MO_St.Louis-Lambert.Intl.AP.724340_TMY3,1746,5038
USA_OR_Astoria.Rgnl.AP.727910_TMY3,164,5049
USA_KS_Wichita-Col.Jabara.Field.724504_TMY3,1719,5056
USA_NY_New.York-Central.Park.725033_TMY3,1257,5062
USA_NJ_Teterboro.AP.725025_TMY3,910,5081
USA_MO_Whiteman.AFB.724467_TMY3,1608,5082
USA_KY_Lexington-Bluegrass.AP.724220_TMY3,1332,5082
USA_MD_Hagerstown-Washington.County.Rgnl.AP.724066_TMY3,1295,5085
USA_MO_St.Louis-Lambert.Intl.AP.724340_TMY,1662,5089
USA_WA_Seattle-Tacoma.727930_TMY2,349,5090
USA_KS_Topeka-Forbes.AFB.724565_TMY3,1572,5093
USA_CA_Arcata.AP.725945_TMY,50,5096
USA_KS_Concordia-Blosser.Muni.AP.724580_TMY3,1862,5119
USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY,1330,5123
USA_VA_Wise-Lonesome.Pine.AP.724117_TMY3,954,5126
USA_MD_Baltimore.724060_TMY2,1358,5136
USA_OH_Cincinnati.Muni.AP-Lunken.Field.724297_TMY3,1259,5140
USA_KS_Wichita.724500_TMY2,1822,5140
USA_VA_Marion-Wytheville-Mountain.Empire.AP.724056_TMY3,1065,5140
USA_NJ_Newark.Intl.AP.725020_TMY,1182,5143
USA_KS_Liberal.Muni.AP.724516_TMY3,1742,5145
USA_PA_Philadelphia.Intl.AP.724080_TMY,1266,5148
USA_NY_New.York.City-Central.Park.94728_TMY,954,5158
USA_OR_Portland-Hillsboro.AP.726986_TMY3,581,5165
USA_NY_Islip-Long.Island.MacArthur.AP.725035_TMY3,1152,5172
USA_PA_Lancaster.AP.725116_TMY3,1098,5174
USA_OR_Eugene-Mahlon.Sweet.AP.726930_TMY3,666,5175
USA_KS_Olathe-Johnson.County.Industrial.AP.724475_TMY3,1676,5176
USA_VA_Sterling-Washington.Dulles.Intl.AP.724030_TMY3,1372,5180
USA_VA_Staunton-Shenandoah.Valley.Rgnl.AP.724105_TMY3,1394,5182
USA_KS_Great.Bend.AWOS.724517_TMY3,1697,5182
USA_KY_Fort.Knox-Godman.AAF.724240_TMY3,1535,5187
USA_VA_Abingdon-Virgina.Highlands.AP.724058_TMY3,1241,5191
USA_OH_Zanesville.Muni.AP.724286_TMY3,961,5193
USA_MD_Baltimore-Washington.Intl.AP.724060_TMY,1339,5195
USA_KY_Lexington.724220_TMY2,1215,5202
USA_DE_Dover.AFB.724088_TMY3,1220,5207
USA_NY_New.York.City-Central.Park.744860_TMY2,1124,5210
USA_WV_Parkersburg-Wood.County-Gill.Robb.Wilson.AP.724273_TMY3,1335,5219
USA_NJ_Newark.Intl.AP.725020_TMY3,1398,5219
USA_KS_Topeka-Phillip.Billard.Muni.AP.724560_TMY3,1588,5223
USA_MO_St.Louis.724340_TMY2,1649,5234
USA_NJ_Trenton-Mercer.County.AP.724095_TMY3,1372,5238
USA_KS_Newton.AWOS.724509_TMY3,1612,5241
USA_KS_Manhattan.Rgnl.AP.724555_TMY3,1876,5247
USA_MO_Columbia.Rgnl.AP.724450_TMY,1460,5250
USA_KS_Dodge.City.Rgnl.AP.724510_TMY3,1740,5251
USA_CA_Arcata.725945_TMY2,65,5258
USA_WA_Snohomish.County.AP.727937_TMY3,233,5259
USA_KY_Cincinnati-Northern.Kentucky.AP.724210_TMY,1235,5260
USA_KS_Russell.Muni.AP.724585_TMY3,1696,5265
USA_WV_Morgantown.Muni-Hart.Field.724176_TMY3,912,5267
USA_NJ_Newark.725020_TMY2,1215,5275
USA_DE_Wilmington-New.Castle.County.AP.724089_TMY,1248,5276
USA_KS_Hays.Muni.AWOS.724518_TMY3,1810,5276
USA_DE_Wilmington.724089_TMY2,1274,5278
USA_DE_Wilmington-New.Castle.County.AP.724089_TMY3,1281,5281
USA_NJ_Atlantic.City.Intl.AP.724070_TMY3,1098,5287
USA_NJ_McGuire.AFB.724096_TMY3,1322,5289
USA_OR_Medford.725970_TMY2,1131,5289
USA_PA_Reading.Mem.AP-Spaatz.Field.725103_TMY3,1125,5298
USA_OR_Salem-McNary.Field.726940_TMY,520,5301
USA_NJ_Caldwell-Essex.County.AP.724094_TMY3,905,5302
USA_OR_Salem.726940_TMY2,570,5337
USA_RI_Block.Island.State.AP.725058_TMY3,547,5345
USA_MO_Kansas.City.724460_TMY2,1645,5354
USA_IN_Terre.Haute-Hulman.Rgnl.AP.724373_TMY3,1501,5356
USA_KY_Henderson.City.County.AP.724238_TMY3,1285,5360
USA_WA_Hoquiam.AP.727923_TMY3,140,5362
USA_PA_Philadelphia.724086_TMY2,1239,5367
USA_VA_Blacksburg-Virginia.Tech.AP.724113_TMY3,1035,5367
USA_OR_Astoria.Rgnl.AP.727910_TMY,142,5372
USA_MO_Columbia.724450_TMY2,1472,5373
USA_WA_Pasco-Tri.Cities.AP.727845_TMY3,1170,5379
USA_WA_Whidbey.Island.NAS.690230_TMY,129,5395
USA_TX_Dalhart.Muni.AP.722636_TMY3,1402,5400
USA_OR_Astoria.727910_TMY2,123,5401
USA_OR_Medford-Rogue.Valley.Intl.AP.725970_TMY,1045,5403
USA_KS_Dodge.City.Rgnl.AP.724510_TMY,1629,5413
USA_IL_Quincy.Muni.AP.724396_TMY3,1252,5420
USA_KY_Covington-Cincinnati.AP.724210_TMY2,1244,5422
USA_WV_Clarksburg-Harrison.Marion.Rgnl.AP.724175_TMY3,1140,5422
USA_VA_Winchester.Rgnl.AP.724053_TMY3,1424,5428
USA_PA_Pittsburgh-Allegheny.County.AP.725205_TMY3,827,5444
USA_VA_Manassas.Muni.AWOS.724036_TMY3,1203,5447
USA_NJ_Belmar-Monmouth.County.AP.724084_TMY3,1058,5452
USA_VA_Pulaski-New.River.Valley.AP.724116_TMY3,1006,5458
USA_VA_Leesburg.Muni.AP-Godfrey.Field.724055_TMY3,1390,5458
USA_IA_Fort.Madison.Muni.AP.725483_TMY3,1325,5461
USA_VA_Sterling-Washington.Dulles.724030_TMY2,1277,5465
USA_MA_Nantucket.Mem.AP.725063_TMY3,422,5476
USA_WA_Seattle-Tacoma.Intl.AP.727930_TMY,294,5479
USA_NJ_Atlantic.City.724070_TMY2,1123,5481
USA_OH_Ohio.State.University.AP.724288_TMY3,1308,5486
USA_PA_Harrisburg-Capital.City.AP.725118_TMY,1194,5488
USA_KS_Topeka-Phillip.Billard.Muni.AP.724560_TMY,1612,5488
USA_KS_Garden.City.Muni.AP.724515_TMY3,1553,5499
USA_KY_Cincinnati-Northern.Kentucky.AP.724210_TMY3,1181,5509
USA_NJ_McGuire.AFB.724096_TMY,1161,5523
USA_MO_Columbia.Rgnl.AP.724450_TMY3,1424,5539
USA_WV_Beckley-Raleigh.County.Mem.AP.724120_TMY3,829,5560
USA_IN_Monroe.County.AP.724375_TMY3,1199,5563
USA_KS_Topeka.724560_TMY2,1530,5574
USA_IL_Belleville-Scott.AFB.724338_TMY3,1500,5579
USA_WA_Whidbey.Island.NAS.690230_TMY3,90,5602
USA_PA_Harrisburg-Capital.City.AP.725118_TMY3,1120,5604
USA_WA_Olympia.AP.727920_TMY3,413,5627
USA_MO_Kansas.City.Intl.AP.724460_TMY3,1517,5636
USA_KS_Dodge.City.724510_TMY2,1679,5662
USA_CT_Bridgeport-Sikorsky.Mem.AP.725040_TMY3,872,5668
USA_VA_Hillsville-Twin.County.AP.724107_TMY3,800,5672
USA_PA_Harrisburg.725115_TMY2,1190,5680
USA_IL_Springfield-Capital.AP.724390_TMY,1366,5684
USA_CT_New.Haven-Tweed.AP.725045_TMY3,787,5691
USA_IA_Keokuk.Muni.AP.725456_TMY3,1403,5695
USA_MO_St.Joseph-Rosecrans.Mem.AP.724490_TMY3,1577,5704
USA_CT_Hartford-Brainard.Field.725087_TMY3,845,5707
USA_IL_Springfield-Capital.AP.724390_TMY3,1387,5748
USA_IL_Decatur.AP.725316_TMY3,1367,5749
USA_OH_Columbus-Port.Columbus.Intl.AP.724280_TMY,1015,5770
USA_WA_Bremerton.National.AP.727928_TMY3,346,5770
USA_OH_Columbus.724280_TMY2,1001,5775
USA_WA_Olympia.727920_TMY2,441,5792
USA_WA_Moses.Lake-Grant.County.AP.727827_TMY3,1002,5802
USA_MA_Marthas.Vineyard.AP.725066_TMY3,541,5812
USA_OH_Columbus-Port.Columbus.Intl.AP.724280_TMY3,958,5812
USA_OH_Findlay.AP.725366_TMY3,791,5837
USA_WA_Fort.Lewis-Gray.AAF.742070_TMY3,418,5884
USA_NY_Westhampton-Suffolk.County.AP.744865_TMY3,673,5964
